step,reward,cumulative_reward,throughput,cumulative_throughput,avg_wait_time
44,-0.8,-77.7,0,0,1.3181818181818181
45,-1.1,-78.8,0,0,1.288888888888889
46,-0.20000000000000007,-79.0,1,1,1.2608695652173914
47,-1.6,-80.6,0,1,1.2553191489361701
48,-2.9000000000000004,-83.5,0,1,1.2916666666666667
49,-4.7,-88.2,1,2,1.3877551020408163
50,-1.1,-89.3,0,2,1.36
51,-0.8,-90.1,0,2,1.3333333333333333
52,-1.9000000000000001,-92.0,0,2,1.3269230769230769
53,-2.4000000000000004,-94.4,0,2,1.3396226415094339
54,-2.6,-97.0,0,2,1.3703703703703705
55,-3.0999999999999996,-100.1,0,2,1.4181818181818182
56,-3.5999999999999996,-103.69999999999999,0,2,1.4821428571428572
57,-4.7,-108.39999999999999,0,2,1.5614035087719298
58,-5.3999999999999995,-113.8,0,2,1.6724137931034482
59,-6.3999999999999995,-120.2,0,2,1.8135593220338984
60,-0.20000000000000007,-120.4,1,3,1.7833333333333334
61,-0.7999999999999999,-121.2,1,4,1.7540983606557377
62,-0.20000000000000007,-121.4,1,5,1.7258064516129032
63,-1.0,-122.4,1,6,1.7142857142857142
64,-2.7,-125.10000000000001,0,6,1.71875
65,-2.3000000000000003,-127.4,1,7,1.7384615384615385
66,-3.0999999999999996,-130.5,0,7,1.7727272727272727
67,-3.4000000000000004,-133.9,3,10,1.8507462686567164
68,-7.5,-141.4,0,10,1.9852941176470589
69,-9.8,-151.20000000000002,0,10,2.1739130434782608
70,-3.0999999999999996,-154.3,0,10,2.2
71,-0.7999999999999999,-155.10000000000002,1,11,2.1690140845070425
72,-0.8,-155.90000000000003,0,11,2.138888888888889
73,-1.3000000000000003,-157.20000000000005,1,12,2.1232876712328768
74,-2.1,-159.30000000000004,0,12,2.1216216216216215
75,-2.9000000000000004,-162.20000000000005,0,12,2.1333333333333333
76,-3.0999999999999996,-165.30000000000004,0,12,2.1578947368421053
77,-3.9000000000000004,-169.20000000000005,0,12,2.1948051948051948
78,-4.4,-173.60000000000005,0,12,2.2435897435897436
79,-3.9999999999999996,-177.60000000000005,1,13,2.3037974683544302
80,-0.20000000000000007,-177.80000000000004,1,14,2.275
81,-1.4,-179.20000000000005,0,14,2.246913580246914
82,-0.8,-180.00000000000006,0,14,2.2195121951219514
83,-0.8,-180.80000000000007,0,14,2.1927710843373496
84,-0.20000000000000007,-181.00000000000006,1,15,2.1666666666666665
85,-1.7,-182.70000000000005,0,15,2.1411764705882352
86,-0.40000000000000013,-183.10000000000005,2,17,2.127906976744186
87,0.2999999999999998,-182.80000000000004,4,21,2.1264367816091956
88,-2.6,-185.40000000000003,0,21,2.1363636363636362
89,-3.6,-189.00000000000003,1,22,2.168539325842697
90,-0.8,-189.80000000000004,0,22,2.1444444444444444
91,-1.1,-190.90000000000003,0,22,2.120879120879121
92,-0.5000000000000001,-191.40000000000003,1,23,2.097826086956522
93,-1.1,-192.50000000000003,0,23,2.075268817204301
94,-1.6,-194.10000000000002,0,23,2.0638297872340425
95,-2.1,-196.20000000000002,0,23,2.0631578947368423
96,-2.2,-198.4,2,25,2.0833333333333335
97,-5.0,-203.4,0,25,2.1237113402061856
98,-5.3999999999999995,-208.8,0,25,2.183673469387755
99,-6.9,-215.70000000000002,1,26,2.272727272727273
100,-2.9999999999999996,-218.70000000000002,1,27,2.3
101,-0.7999999999999999,-219.50000000000003,1,28,2.277227722772277
102,-0.8,-220.30000000000004,0,28,2.2549019607843137
103,-0.20000000000000007,-220.50000000000003,1,29,2.233009708737864
104,-1.6,-222.10000000000002,0,29,2.2211538461538463
105,-1.8000000000000003,-223.90000000000003,1,30,2.219047619047619
106,-2.3000000000000003,-226.20000000000005,1,31,2.2264150943396226
107,-3.0999999999999996,-229.30000000000004,0,31,2.2429906542056073
108,-3.2,-232.50000000000003,2,33,2.2777777777777777
109,-6.0,-238.50000000000003,0,33,2.330275229357798
110,0.3999999999999999,-238.10000000000002,2,35,2.309090909090909
111,-0.8,-238.90000000000003,0,35,2.2882882882882885
112,-1.3000000000000003,-240.20000000000005,1,36,2.2767857142857144
113,-2.7,-242.90000000000003,0,36,2.274336283185841
114,-2.6,-245.50000000000003,0,36,2.280701754385965
